flight_id,lat,lon,chosen_airport,origin_airport,is_origin_return
6J62,33.958927,138.121368,ITM,KMI,FALSE
6J96,34.860783,139.253601,NRT,OIT,FALSE
7G26,34.548,135.234665,KIX,KIX,TRUE
AA175,35.805607,140.199631,NRT,DFW,FALSE
AF274,36.327301,131.592285,KIX,CDG,FALSE
BC618,25.886814,127.291451,KIX,UKB,FALSE
BC720,35.613255,140.147858,NRT,CTS,FALSE
BC966,35.384857,140.116486,NRT,CTS,FALSE
BR190,25.636318,122.516731,TSA,TSA,TRUE
CX542,22.312775,113.94915,HKG,HKG,TRUE
CZ3085,31.449463,124.5485,KIX,CAN,FALSE
DL181,35.337898,139.795822,NRT,HNL,FALSE
HA457,35.00124,149.996002,NRT,HNL,FALSE
HD28,35.957695,140.131958,NRT,CTS,FALSE
HD60,36.664356,140.333511,NRT,HKD,FALSE
JL128,35.036957,139.684387,NRT,ITM,FALSE
JL156,36.961349,140.409882,NRT,MSJ,FALSE
JL166,35.436493,139.878326,NRT,AXT,FALSE
JL26,24.569504,121.23774,NRT,HKG,FALSE
JL322,34.317005,135.872559,ITM,FUK,FALSE
JL376,35.178131,139.748337,NRT,KKJ,FALSE
JL484,34.775528,135.793991,ITM,TAK,FALSE
JL518,40.537643,141.371628,KIX,CTS,FALSE
JL556,36.419815,140.28476,NRT,AKJ,FALSE
JL614,33.969448,134.348083,ITM,NGS,FALSE
JL650,31.795307,130.724167,KOJ,KOJ,TRUE
JL672,34.753235,138.908325,NRT,OIT,FALSE
JL696,33.093201,135.491409,KIX,KMI,FALSE
JL71,29.139519,154.380051,NRT,HNL,FALSE
JL88,32.54892,128.495544,KIX,CAN,FALSE
JL914,34.10051,138.796951,NGO,OKA,FALSE
JL98,30.80208,130.245773,KIX,TSA,FALSE
KE2103,34.857292,137.277893,NGO,GMP,FALSE
NH111,49.773651,159.48111,NRT,ORD,FALSE
NH115,35.722092,140.204361,NRT,YVR,FALSE
NH117,36.577442,142.071518,SDJ,SEA,FALSE
NH125,46.768112,155.804504,NRT,LAX,FALSE
NH1896,33.88916,139.878998,NRT,HAC,FALSE
NH34,34.737122,138.012726,NGO,ITM,FALSE
NH538,34.382812,134.085999,KIX,TAK,FALSE
NH596,33.491684,134.97226,KIX,MYJ,FALSE
NH628,33.397881,136.585175,KIX,KOJ,FALSE
NH648,32.760406,130.811249,KMJ,KMJ,TRUE
NH658,34.723545,137.084076,NGO,OKJ,FALSE
NH682,34.932358,136.345322,KIX,HIJ,FALSE
NH70,36.158524,140.232697,NRT,CTS,FALSE
NH72,41.176666,141.549408,SDJ,CTS,FALSE
NH756,37.318321,138.950958,NGO,KMQ,FALSE
NH860,32.036224,132.932587,KIX,HKG,FALSE
NH870,25.083416,127.542404,KIX,MNL,FALSE
NH88,33.036587,137.0746,ITM,MMY,FALSE
NH890,19.575317,142.0483,NRT,SYD,FALSE
NH92,33.394199,137.517441,KIX,ISG,FALSE
NH924,31.424902,124.4365,KIX,CAN,FALSE
NH962,37.212387,126.6734,KIX,PEK,FALSE
QF59,11.442679,142.7469,NRT,SYD,FALSE
SQ634,16.221313,116.935211,NRT,SIN,FALSE
TK198,37.20639,125.9159,NRT,IST,FALSE
VA77,20.616575,142.036667,NRT,CNS,FALSE
